date,symbol,k_pred_ret,k_up_prob,k_pred_vol,turnover,pct_chg,amplitude,label_fwd_ret_5d
2018-05-24,300308,0.009251924863993696,0.6666666666666666,0.020153591034287238,0.57,-3.5,4.7,-0.04051772650534602
2018-05-25,300308,0.02433594814766375,0.6666666666666666,0.05158061015745722,0.44,-2.17,4.36,-0.04889272361230956
2018-05-28,300308,0.0262912168403151,0.6666666666666666,0.033783556328855796,0.45,0.95,3.42,-0.02564102564102555
2018-05-29,300308,-0.062324734042059925,0.0,0.04234133895985316,0.63,2.05,4.67,-0.04606365159128978
2018-05-30,300308,0.029127437975649356,1.0,0.02270069167434346,1.03,-8.51,5.11,0.030515715593530723
2018-05-31,300308,-0.008505604611737291,0.6666666666666666,0.035367894254439036,0.51,4.06,3.75,-0.020821114369501514
2018-06-01,300308,0.05897084941845362,1.0,0.033510510692578724,0.35,-3.02,3.64,0.014212276988206707
2018-06-04,300308,0.06559263555624595,1.0,0.053042268588273656,0.55,3.42,4.14,-0.056140350877193046
2018-06-05,300308,0.013535988493504755,0.6666666666666666,0.06775175711665905,0.57,-0.09,4.15,-0.04828797190517997
2018-06-06,300308,0.06806268972043876,1.0,0.028736685954568925,0.69,-1.17,4.18,-0.05715131773763704
2018-06-07,300308,0.06338028045976603,0.6666666666666666,0.06432337789405158,0.47,-1.13,3.67,-0.03743635819107516
2018-06-08,300308,-0.011590079274900633,0.3333333333333333,0.03860775770715537,0.83,0.45,4.58,-0.05217650566487775
2018-06-11,300308,0.0350967207051632,1.0,0.020566321888254704,1.01,-3.76,3.82,-0.12205700123915741
2018-06-12,300308,0.027630361236357943,0.3333333333333333,0.07857936402956565,0.65,0.74,4.52,-0.12177121771217725
2018-06-13,300308,0.004630945509894476,0.6666666666666666,0.025478217798409315,0.59,-2.09,7.29,-0.17556532663316582
2018-06-14,300308,-0.048502381323170606,0.0,0.024022388284849688,0.66,0.94,3.67,-0.1621032980709397
2018-06-15,300308,-0.019110457478309455,0.3333333333333333,0.01501986695084173,0.68,-1.09,3.42,-0.16200062912865676
2018-06-19,300308,0.012151821536863857,0.3333333333333333,0.024962357121532493,1.0,-10.85,10.19,0.012350035285815242
2018-06-20,300308,0.08657007749095798,1.0,0.037558520432635585,0.6,0.78,4.3,-0.0357142857142857
2018-06-21,300308,0.13602278947162363,1.0,0.07968897252962616,1.18,-8.09,11.2,0.030857142857142916
2018-06-22,300308,0.14203326512896827,1.0,0.07785490200789634,0.86,2.59,5.87,0.04196063869290745
2018-06-25,300308,0.11148004145857748,1.0,0.05221571557660256,0.67,-1.08,3.38,0.052552552552552534
2018-06-26,300308,0.08854372102815707,1.0,0.06193974756670753,0.97,7.7,10.21,-0.04322063436737544
2018-06-27,300308,0.05085588989045072,0.3333333333333333,0.08939889184299471,1.13,-4.01,7.11,-0.03812636165577343
2018-06-28,300308,0.05409728387053736,1.0,0.029365100266700164,0.82,-1.74,4.25,-0.07797487065779751
2018-06-29,300308,0.059697360997130744,1.0,0.034389268383130896,1.18,3.7,7.76,-0.10762651461154671
2018-07-02,300308,0.030738111855327266,0.6666666666666666,0.028116482295469158,1.33,-0.07,6.84,-0.07310984308131241
2018-07-03,300308,0.04628021922272504,0.6666666666666666,0.056655345307048875,2.3,-2.1,11.8,-0.03825136612021862
2018-07-04,300308,0.08600417266271299,1.0,0.030367916218048047,1.08,-3.5,4.63,-0.11325028312570784
2018-07-05,300308,0.06547511537464756,1.0,0.02177876529522596,1.01,-5.81,6.98,-0.027254509018036055
2018-07-06,300308,0.1410802001545409,1.0,0.024559956493012628,1.33,0.36,6.93,0.0503194888178915
2018-07-09,300308,0.0879002186183097,0.6666666666666666,0.06873569837185586,1.11,3.79,2.96,0.03616775682954998
2018-07-10,300308,0.047722455766302886,1.0,0.0076513592051086175,0.93,1.58,4.35,0.03939393939393954
2018-07-11,300308,-0.0035603985641941747,0.3333333333333333,0.013978126523909307,1.54,-11.02,7.61,0.13282247765006394
2018-07-12,300308,0.15919030607550208,1.0,0.039730210546108646,2.59,3.32,10.73,0.12443345694272767
2018-07-13,300308,0.05287685218772268,1.0,0.04837591045234734,3.11,8.36,11.12,0.027756653992395464
